title|url|rss|issn|publisher|subjects
Abstract and Applied Analysis|https://www.hindawi.com/journals/aaa|https://paperity.org/rss/?q=journal_pid:168152|1687-0409, 1085-3375|Hindawi Limited|mathematics;applied analysis;abstract analysis
Academia Eğitim Araştırmaları Dergisi|https://dergipark.org.tr/en/pub/egitim|https://paperity.org/rss/?q=journal_pid:135016|2619-9351|-|-
Academia y Virtualidad|http://revistas.unimilitar.edu.co/index.php/ravi/index|https://paperity.org/rss/?q=journal_pid:436732|2011-0731|Universidad Militar Nueva Granada|virtual education
Actio Nova|https://revistas.uam.es/actionova|https://paperity.org/rss/?q=journal_pid:481675|2530-4437|Universidad Autónoma de Madrid |comparative literature;literary theory;rhetoric;poetics;literary communication
Academia: Архитектура и строительство|http://aac.raasn.ru/|https://paperity.org/rss/?q=journal_pid:409366|2077-9038|Russian Academy of Architecture and Construction Sciences (RAACS)|arts;historical sciences;archeology;engineering sciences;construction;architecture
Algerian Journal of Natural Products|http://univ-bejaia.dz/ajnp/index.php/ajnp/index|https://paperity.org/rss/?q=journal_pid:406852|2353-0391|Laboratory of Organic Materials|Phytochemistry;Antimicrobial activities;Biopolymers;natural products;Separation process
Academic Forensic Pathology|https://www.ncbi.nlm.nih.gov/pubmed/|https://paperity.org/rss/?q=journal_pid:80121|1925-3621|SAGE Publications|-
Archives of Pharmaceutical Sciences Ain Shams University|https://aps.journals.ekb.eg/|https://paperity.org/rss/?q=journal_pid:297506|2356-8399, 2356-8380|Ain Shams University|biopharmaceuticals;herbal medicine;microbiology;analytical chemistry;clinical pharmacy
Academic Journal of Economic Studies|http://www.ajes.ro/|https://paperity.org/rss/?q=journal_pid:68671|2457-5836, 2393-4913|Editura Universitara|economics;business
I+D Revista de Investigaciones|http://www.udi.edu.co/revistainvestigaciones/index.php/ID/index|https://paperity.org/rss/?q=journal_pid:417064|2539-519X, 2256-1676|Universidad de Investigación y Desarrollo|technology;innovation;engineering;science
Academic Journal of Modern Philology|https://ajmp.uni.wroc.pl/|https://paperity.org/rss/?q=journal_pid:239223|2299-7164|Komisja Nauk Filologicznych, Polska Akademia Nauk Oddział we Wrocławiu / Kolegium Międzyobszarowych Studiów Indywidualnych Uniwersytetu Wrocławskiego|-
IACR Transactions on Symmetric Cryptology|https://tosc.iacr.org|https://paperity.org/rss/?q=journal_pid:37997|2519-173X|Ruhr-Universität Bochum|block cipher;implementation;symmetric cryptology;stream cipher;hash function;cryptanalysis
Academic Knowledge|https://dergipark.org.tr/en/pub/ak|https://paperity.org/rss/?q=journal_pid:169532|2667-6362, 2667-6362|-|-
̒Ilm-i Zabān|http://ls.atu.ac.ir/|https://paperity.org/rss/?q=journal_pid:86418|2423-7728|Allameh Tabataba'i University Press|syntax;discourse analysis
Academic Pathology|http://apc.sagepub.com/|https://paperity.org/rss/?q=journal_pid:108874|2374-2895|SAGE Publishing|academic pathology;coordinated care;pathology;patient informatics;laboratory medicine;clinical partnerships
Indian Journal of Neonatal Medicine and Research|http://www.ijnmr.net/index.asp|https://paperity.org/rss/?q=journal_pid:204263|2455-6890, 2277-8527|JCDR Research and Publications Pvt. Ltd.|neonatology;perinatology;paediatrics;obstetrics
Academic Perspectives in Higher Education|http://digitalcommons.odu.edu/aphe/|https://paperity.org/rss/?q=journal_pid:32196|2380-1131|Old Dominion University|-
Informacije MIDEM|http://journal.midem-drustvo.si/|https://paperity.org/rss/?q=journal_pid:450571|2232-6979, 0352-9045|MIDEM Society - Society for Microelectronics, Electronic Components and Materials|microelectronics;electronic components;materials;power electronics
Academic Psychiatry|https://link.springer.com/journal/40596|https://paperity.org/rss/?q=journal_pid:10659|1545-7230|Springer International Publishing|Academic Psychiatry, Psychiatry, Medical Education
Natural History Sciences|https://sisn.pagepress.org/index.php/nhs/index|https://paperity.org/rss/?q=journal_pid:425882|2385-0922, 2385-0442|PAGEPress Publications|zoology;botany;geology;paleontology;ecology;taxonomy
Academic Questions|https://link.springer.com/journal/12129|https://paperity.org/rss/?q=journal_pid:188323|0895-4852, 1936-4709|Springer US|Higher Education
Peloro|http://cab.unime.it/journals/index.php/peloro/index|https://paperity.org/rss/?q=journal_pid:314823|2499-8923|University of Messina|history;archaeology;philology
Academic Review of Humanities and Social Sciences|https://dergipark.org.tr/en/pub/arhuss|https://paperity.org/rss/?q=journal_pid:228855|2636-7645, 2636-7645|-|-
Revista Interuniversitaria de Formación del Profesorado|https://recyt.fecyt.es/index.php/RIFOP/index|https://paperity.org/rss/?q=journal_pid:303654|2530-3791, 0213-8646|Universidad de Murcia |education;psychology
aCAdemicS: The newsletter of the SWOSU College of Arts & Sciences|http://dc.swosu.edu/academics/|https://paperity.org/rss/?q=journal_pid:166276|-|Southwestern Oklahoma State University|-
Russian Journal of Linguistics|http://journals.rudn.ru/linguistics|https://paperity.org/rss/?q=journal_pid:175399|2312-9212, 2312-9182|Peoples' Friendship University of Russia (RUDN University)|linguistics;functional language aspects;socio-cognitive language aspects
Academicus : International Scientific Journal|http://www.academicus.edu.al|https://paperity.org/rss/?q=journal_pid:295904|2309-1088, 2079-3715|Academicus|economy;social sciences;law;communication;political sciences
Ultrasound International Open|http://www.thieme.com/uio|https://paperity.org/rss/?q=journal_pid:315624|2199-7152, 2509-596X|Georg Thieme Verlag|ultrasound;medicine;biology
Academo (Asunción)|http://scielo.iics.una.py/scielo.php?script=sci_serial&pid=2414-8938&lng=en|https://paperity.org/rss/?q=journal_pid:122342|2414-8938|-|-
'Anil Islam: Jurnal Kebudayaan dan Ilmu Keislaman|http://jurnal.instika.ac.id/index.php/AnilIslam/index|https://paperity.org/rss/?q=journal_pid:174813|2528-7532, 2085-4080|Institut Ilmu Keislaman Annuqayah|quranic studies;Islamic law;Islamic studies;Sufism;Islamic economics
Academy Journal of Educational Sciences|https://dergipark.org.tr/en/pub/aebd|https://paperity.org/rss/?q=journal_pid:163769|2602-3342|-|-
"""Bulletin of the Yaroslav the Wise National University"". Series: Philosophy, philosophy of law, political science, sociology"|http://fil.nlu.edu.ua/|https://paperity.org/rss/?q=journal_pid:364683|2075-7190 2663-5704|Yaroslav the Wise National University of Law|-
Acarological Studies|https://dergipark.org.tr/en/pub/acarolstud|https://paperity.org/rss/?q=journal_pid:192522|2667-5684|-|-
"""Res Rhetorica"""|https://resrhetorica.com/|https://paperity.org/rss/?q=journal_pid:16630|2392-3113|Polish Rhetoric Society|rethoric;humanities;social sciences;communication;persuasion
ACC Journal|https://acc-ern.tul.cz/en/acc-journal|https://paperity.org/rss/?q=journal_pid:251290|2571-0613, 1803-9782|Technical University of Liberec|natural sciences;economics;management;social sciences
(En)clave Comahue|http://revele.uncoma.edu.ar/htdoc/revele/index.php/revistadelafacultad|https://paperity.org/rss/?q=journal_pid:418236|2545-6393, 2545-6466|Universidad Nacional del Comahue|social communication;mass communication;Patagonia;law;social sciences;sociology
Access to Justice in Eastern Europe|http://ajee-journal.com|https://paperity.org/rss/?q=journal_pid:338659|2663-0583, 2663-0575|VD Dakor|civil procedure reforms;justice research;judiciary reforms
#CritEdPol: Journal of Critical Education Policy Studies at Swarthmore College|http://works.swarthmore.edu/critedpol/|https://paperity.org/rss/?q=journal_pid:150575|2473-912X|Swarthmore College|-
#History: A Journal of Student Research|http://digitalcommons.brockport.edu/hashtaghistory/|https://paperity.org/rss/?q=journal_pid:179328|-|The College at Brockport: State University of New York|-
027.7 : Zeitschrift für Bibliothekskultur|http://www.0277.ch|https://paperity.org/rss/?q=journal_pid:291684|2296-0597|Universitätsbibliothek Basel|information science;library science;academic libraries
19 : Interdisciplinary Studies in the Long Nineteenth Century|http://www.19.bbk.ac.uk|https://paperity.org/rss/?q=journal_pid:92535|1755-1560|Open Library of Humanities|literature;cultural studies;nineteenth century;arts;modern history
19 Mayıs Sosyal Bilimler Dergisi|https://dergipark.org.tr/en/pub/19maysbd|https://paperity.org/rss/?q=journal_pid:9199|-|-|-
21. Yüzyılda Eğitim Ve Toplum Eğitim Bilimleri Ve Sosyal Araştırmalar Dergisi|https://dergipark.org.tr/en/pub/egitimvetoplum|https://paperity.org/rss/?q=journal_pid:195889|2147-0928|-|-
21st Century Social Justice|http://fordham.bepress.com/swjournal|https://paperity.org/rss/?q=journal_pid:208081|-|Fordham University|-
3 Biotech|https://link.springer.com/journal/13205|https://paperity.org/rss/?q=journal_pid:220443|2190-5738|Springer International Publishing|3 Biotech, Biotechnology, Agriculture, Cancer Research, Bioinformatics, Stem Cells, Biomaterials
360|http://revistas.pucp.edu.pe/360gestion|https://paperity.org/rss/?q=journal_pid:465641|2518-0495, 2415-5861|Pontificia Universidad Católica del Perú|management science;human resources;innovation and strategy;finance;marketing;operations and logistics
